Gesamtprozess dauerte: 2984:02 min
Anzahl Dokumente input:11034561
Anzahl Dokumente klassifiziert:10853583


Anzahl klassifizierter Dokumente: 10853583

Sprachenverteilung:
chk	19	1.7505739809609418E-4
tsn	18	1.6584385082787868E-4
eml	18	1.6584385082787868E-4
bis	18	1.6584385082787868E-4
ace	18	1.6584385082787868E-4
srp_cyrl	17	1.566303035596632E-4
ztm	16	1.4741675629144772E-4
wln	15	1.3820320902323223E-4
ssw	15	1.3820320902323223E-4
miq	15	1.3820320902323223E-4
cuk	15	1.3820320902323223E-4
wic	14	1.2898966175501676E-4
tuk_latn	14	1.2898966175501676E-4
ton	14	1.2898966175501676E-4
kal	14	1.2898966175501676E-4
hmf	14	1.2898966175501676E-4
gaz	14	1.2898966175501676E-4
chv	14	1.2898966175501676E-4
ami	14	1.2898966175501676E-4
sna	13	1.1977611448680126E-4
nhc	13	1.1977611448680126E-4
lin	13	1.1977611448680126E-4
kir	13	1.1977611448680126E-4
ctd	13	1.1977611448680126E-4
vmr	12	1.1056256721858578E-4
rmn	12	1.1056256721858578E-4
mdf	12	1.1056256721858578E-4
kmr	12	1.1056256721858578E-4
hil	12	1.1056256721858578E-4
wol	10	9.213547268215482E-5
ngl	10	9.213547268215482E-5
che	10	9.213547268215482E-5
car	10	9.213547268215482E-5
smo	9	8.292192541393934E-5
qud	9	8.292192541393934E-5
pov	9	8.292192541393934E-5
nhn	9	8.292192541393934E-5
myv	9	8.292192541393934E-5
yor	8	7.370837814572386E-5
kwf	8	7.370837814572386E-5
krs	8	7.370837814572386E-5
kab	8	7.370837814572386E-5
gug	8	7.370837814572386E-5
bug	8	7.370837814572386E-5
bos_cyrl	8	7.370837814572386E-5
oss	7	6.449483087750838E-5
meu	7	6.449483087750838E-5
mbx	7	6.449483087750838E-5
mam	7	6.449483087750838E-5
lue	7	6.449483087750838E-5
ayc	7	6.449483087750838E-5
uig_latn	6	5.528128360929289E-5
uig_arab	6	5.528128360929289E-5
tlc	6	5.528128360929289E-5
quz	6	5.528128360929289E-5
nus	6	5.528128360929289E-5
nde	6	5.528128360929289E-5
mho	6	5.528128360929289E-5
mah	6	5.528128360929289E-5
abn	6	5.528128360929289E-5
war	5	4.606773634107741E-5
vmw	5	4.606773634107741E-5
vmp	5	4.606773634107741E-5
tiv	5	4.606773634107741E-5
sot	5	4.606773634107741E-5
sag	5	4.606773634107741E-5
run	5	4.606773634107741E-5
qvc	5	4.606773634107741E-5
pbb	5	4.606773634107741E-5
nyn	5	4.606773634107741E-5
mfy	5	4.606773634107741E-5
maz	5	4.606773634107741E-5
lgg	5	4.606773634107741E-5
kwy	5	4.606773634107741E-5
krc	5	4.606773634107741E-5
kos	5	4.606773634107741E-5
kek	5	4.606773634107741E-5
haw	5	4.606773634107741E-5
ewe	5	4.606773634107741E-5
arn	5	4.606773634107741E-5
arl	5	4.606773634107741E-5
tzh	4	3.685418907286193E-5
qxu	4	3.685418907286193E-5
qxa	4	3.685418907286193E-5
kin	4	3.685418907286193E-5
iso	4	3.685418907286193E-5
grg	4	3.685418907286193E-5
cbu	4	3.685418907286193E-5
ven	3	2.7640641804646446E-5
ura	3	2.7640641804646446E-5
tah	3	2.7640641804646446E-5
snk	3	2.7640641804646446E-5
shp	3	2.7640641804646446E-5
rar	3	2.7640641804646446E-5
pam	3	2.7640641804646446E-5
ndc	3	2.7640641804646446E-5
nav	3	2.7640641804646446E-5
hus	3	2.7640641804646446E-5
hau_NG	3	2.7640641804646446E-5
fuc	3	2.7640641804646446E-5
flm	3	2.7640641804646446E-5
fij	3	2.7640641804646446E-5
eve	3	2.7640641804646446E-5
efi	3	2.7640641804646446E-5
cic	3	2.7640641804646446E-5
azb	3	2.7640641804646446E-5
ayr	3	2.7640641804646446E-5
ame	3	2.7640641804646446E-5
acu	3	2.7640641804646446E-5
zul	2	1.8427094536430965E-5
yan	2	1.8427094536430965E-5
xal	2	1.8427094536430965E-5
wls	2	1.8427094536430965E-5
umb	2	1.8427094536430965E-5
tir	2	1.8427094536430965E-5
srm	2	1.8427094536430965E-5
rug	2	1.8427094536430965E-5
pon	2	1.8427094536430965E-5
ote	2	1.8427094536430965E-5
nyk	2	1.8427094536430965E-5
nya_chechewa	2	1.8427094536430965E-5
nso	2	1.8427094536430965E-5
mos	2	1.8427094536430965E-5
lug	2	1.8427094536430965E-5
kri	2	1.8427094536430965E-5
kde	2	1.8427094536430965E-5
kan	2	1.8427094536430965E-5
inh	2	1.8427094536430965E-5
igl	2	1.8427094536430965E-5
hms	2	1.8427094536430965E-5
gil	2	1.8427094536430965E-5
emk	2	1.8427094536430965E-5
dyo	2	1.8427094536430965E-5
cbt	2	1.8427094536430965E-5
cbs	2	1.8427094536430965E-5
blu	2	1.8427094536430965E-5
bfa	2	1.8427094536430965E-5
ava	2	1.8427094536430965E-5
agr	2	1.8427094536430965E-5
ada	2	1.8427094536430965E-5
zne	1	9.213547268215483E-6
zam	1	9.213547268215483E-6
yao	1	9.213547268215483E-6
yad	1	9.213547268215483E-6
uzn	1	9.213547268215483E-6
tzm	1	9.213547268215483E-6
tzc	1	9.213547268215483E-6
tum	1	9.213547268215483E-6
tuk	1	9.213547268215483E-6
top	1	9.213547268215483E-6
tob	1	9.213547268215483E-6
tam	1	9.213547268215483E-6
suk	1	9.213547268215483E-6
skr	1	9.213547268215483E-6
ray	1	9.213547268215483E-6
qwh	1	9.213547268215483E-6
ppl	1	9.213547268215483E-6
pcd	1	9.213547268215483E-6
not	1	9.213547268215483E-6
nia	1	9.213547268215483E-6
ndo	1	9.213547268215483E-6
mmc	1	9.213547268215483E-6
men	1	9.213547268215483E-6
lun	1	9.213547268215483E-6
lua	1	9.213547268215483E-6
loz	1	9.213547268215483E-6
kum	1	9.213547268215483E-6
kpv	1	9.213547268215483E-6
koo	1	9.213547268215483E-6
kng	1	9.213547268215483E-6
knc	1	9.213547268215483E-6
ike	1	9.213547268215483E-6
ibo	1	9.213547268215483E-6
ibb	1	9.213547268215483E-6
hva	1	9.213547268215483E-6
huu	1	9.213547268215483E-6
hea	1	9.213547268215483E-6
gyr	1	9.213547268215483E-6
gym	1	9.213547268215483E-6
gkn	1	9.213547268215483E-6
gax	1	9.213547268215483E-6
gaa	1	9.213547268215483E-6
fon	1	9.213547268215483E-6
dyu	1	9.213547268215483E-6
dip	1	9.213547268215483E-6
dga	1	9.213547268215483E-6
dar	1	9.213547268215483E-6
cni	1	9.213547268215483E-6
cnh	1	9.213547268215483E-6
cjk	1	9.213547268215483E-6
chj	1	9.213547268215483E-6
ccx	1	9.213547268215483E-6
cab	1	9.213547268215483E-6
btb	1	9.213547268215483E-6
bem	1	9.213547268215483E-6
auv	1	9.213547268215483E-6
aka_asante	1	9.213547268215483E-6
ajg	1	9.213547268215483E-6
ahk	1	9.213547268215483E-6
quatsch	0	0.0

 Kodierungsverteilung:
	10853583	100.0
 eng	8689381	80.06002257503351
 mehrereSprachen	727964	6.7071307235592155
 sco	302915	2.790921670751493
 ???	220939	2.0356319198922606
 spa	177145	1.6321338308280315
 fra	111068	1.0233302679861571
 deu	110387	1.0170558422965024
 por	54148	0.49889515747933194
 ita	46247	0.4260989205131614
 ind	32996	0.30401020566203807
 tur	31587	0.29102831756112246
 pol	29722	0.2738450519059006
 nld	28562	0.2631573370747706
 rus	22909	0.21107315436754848
 swe	20589	0.18969772470528856
 pcm	20163	0.18577275356902878
 cat	20105	0.18523836782747227
 vie	18623	0.17158389077597694
 ara	14579	0.13432430562331352
 dan	11284	0.1039656673745435
 nob	10375	0.09559055290773563
 ces	9616	0.08859747053116007
 ang	9468	0.08723386553546418
 fin	9254	0.08526216642006608
 kor	8987	0.08280214929945254
 jpn	8416	0.0775412138093015
 ell	8219	0.07572614499746305
 hun	5990	0.05518914813661074
 ina	5821	0.05363205864828232
 pes	5797	0.053410933513845155
 ron	5614	0.051724854363761716
 zho_trad	5171	0.04764325292394226
 slk	4567	0.04207827037394011
 hrv	4511	0.04156231172692004
 tha	4261	0.03925892490986617
 bul	3484	0.032099998682462744
 arb	3103	0.02858963717327264
 heb	2890	0.026627151605142743
 ukr	2886	0.026590297416069882
 lit	2455	0.02261925854346901
 ltz	2202	0.020288231084610493
 mxi	2160	0.01990126209934544
 lat	2090	0.01925631379057036
 slv	1807	0.016648879913665378
 glg	1656	0.015257634276164838
 lav	1481	0.01364526350422713
 msa	1299	0.01196839790141191
 afr	1279	0.011784126956047601
 eus	1127	0.010383667771278849
 est	1127	0.010383667771278849
 nor	1117	0.010291532298596693
 epo	1064	0.009803214293381273
 nno	1022	0.009416245308116224
 tgl	985	0.009075344059192251
 srp	796	0.007333983625499524
 isl	770	0.0070944313965259215
 xho	752	0.006928587545698043
 zlm	746	0.00687330626208875
 als	703	0.006477123729555484
 lnc	687	0.006329706973264036
 kat	664	0.00611779538609508
 hin	645	0.0059427379879989865
 knn	642	0.00591509734619434
 cym	584	0.005380711604637841
 wrz	577	0.005316216773760333
 ido	528	0.004864752957617775
 oci	510	0.004698909106789896
 pau	471	0.0043395807633294925
 tso	466	0.004293513026988415
 ceb	460	0.004238231743379122
 loy	449	0.0041368827234287515
 mkd	436	0.00401710660894195
 hye	325	0.0029944028621700317
 swh	300	0.0027640641804646446
 gle	298	0.0027456370859282138
 urd	293	0.0026995693495871363
 srp_latn	291	0.0026811422550507055
 bre	282	0.002598220329636766
 uzn_latn	275	0.0025337254987592575
 ekk	268	0.0024692306678817492
 fri	265	0.0024415900260771027
 azj	257	0.002367881647931379
 roh	240	0.0022112513443717156
 gla	238	0.0021928242498352847
 bos_latn	238	0.0021928242498352847
 bel	219	0.0020177668517391907
 hat_popular	210	0.0019348449263252513
 mar	203	0.001870350095447743
 pag	165	0.0015202352992555546
 ast	160	0.0014741675629144772
 som	155	0.0014280998265733997
 kaz	152	0.0014004591847687534
 tzo	151	0.0013912456375005378
 tat	141	0.001299110164818383
 mon	135	0.00124382888120909
 jav	135	0.00124382888120909
 prv	128	0.0011793340503315818
 mly_latn	120	0.0011056256721858578
 lvs	113	0.0010411308413083495
 lsy	110	0.001013490199503703
 ell_monotonic	110	0.001013490199503703
 tpi	108	9.95063104967272E-4
 tet	108	9.95063104967272E-4
 luw	106	9.766360104308412E-4
 azj_latn	104	9.582089158944101E-4
 lus	100	9.213547268215482E-4
 nep	94	8.660734432122554E-4
 xmw	93	8.568598959440398E-4
 fur	93	8.568598959440398E-4
 cos	92	8.476463486758244E-4
 rga	88	8.107921596029624E-4
 ilo	85	7.83151517798316E-4
 gag	83	7.64724423261885E-4
 sun	81	7.462973287254541E-4
 mlt	77	7.094431396525921E-4
 zho_simp	71	6.541618560432993E-4
 yap	64	5.896670251657909E-4
 ctu	61	5.620263833611445E-4
 ban	60	5.528128360929289E-4
 bcl	56	5.15958647020067E-4
 crs	52	4.7910445794720506E-4
 mad	50	4.606773634107741E-4
 pis	48	4.4225026887434313E-4
 ckb	48	4.4225026887434313E-4
 qwc	47	4.330367216061277E-4
 ach	46	4.238231743379122E-4
 krj	44	4.053960798014812E-4
 hvv	42	3.869689852650503E-4
 fao	42	3.869689852650503E-4
 mwv	41	3.777554379968348E-4
 src	40	3.685418907286193E-4
 cha	39	3.593283434604038E-4
 min	36	3.3168770165575736E-4
 hau	36	3.3168770165575736E-4
 kha	35	3.2247415438754187E-4
 bln	34	3.132606071193264E-4
 toi	33	3.0404705985111094E-4
 xsm	32	2.9483351258289544E-4
 iba	32	2.9483351258289544E-4
 rmy	30	2.7640641804646445E-4
 tel	28	2.579793235100335E-4
 srr	28	2.579793235100335E-4
 ztu	27	2.48765776241818E-4
 plt	27	2.48765776241818E-4
 hat_kreyol	27	2.48765776241818E-4
 ell_polytonic	27	2.48765776241818E-4
 chh	27	2.48765776241818E-4
 aln	27	2.48765776241818E-4
 ydd	25	2.3033868170538706E-4
 quw	25	2.3033868170538706E-4
 new	25	2.3033868170538706E-4
 hsb	25	2.3033868170538706E-4
 hat	25	2.3033868170538706E-4
 tkl	24	2.2112513443717157E-4
 rtm	23	2.119115871689561E-4
 khk	23	2.119115871689561E-4
 ivv	23	2.119115871689561E-4
 akl	23	2.119115871689561E-4
 tgk	22	2.026980399007406E-4
 mly_arab	22	2.026980399007406E-4
 cak	22	2.026980399007406E-4
 sme	21	1.9348449263252514E-4
 kea	21	1.9348449263252514E-4
 pnb	19	1.7505739809609418E-4
 nau	19	1.7505739809609418E-4
 mri	19	1.7505739809609418E-4
 kyk	19	1.7505739809609418E-4
 fui	19	1.7505739809609418E-4
 fuf	19	1.7505739809609418E-4
 cot	19	1.7505739809609418E-4
 chk	19	1.7505739809609418E-4
 tsn	18	1.6584385082787868E-4
 eml	18	1.6584385082787868E-4
 bis	18	1.6584385082787868E-4
 ace	18	1.6584385082787868E-4
 srp_cyrl	17	1.566303035596632E-4
 ztm	16	1.4741675629144772E-4
 wln	15	1.3820320902323223E-4
 ssw	15	1.3820320902323223E-4
 miq	15	1.3820320902323223E-4
 cuk	15	1.3820320902323223E-4
 wic	14	1.2898966175501676E-4
 tuk_latn	14	1.2898966175501676E-4
 ton	14	1.2898966175501676E-4
 kal	14	1.2898966175501676E-4
 hmf	14	1.2898966175501676E-4
 gaz	14	1.2898966175501676E-4
 chv	14	1.2898966175501676E-4
 ami	14	1.2898966175501676E-4
 sna	13	1.1977611448680126E-4
 nhc	13	1.1977611448680126E-4
 lin	13	1.1977611448680126E-4
 kir	13	1.1977611448680126E-4
 ctd	13	1.1977611448680126E-4
 vmr	12	1.1056256721858578E-4
 rmn	12	1.1056256721858578E-4
 mdf	12	1.1056256721858578E-4
 kmr	12	1.1056256721858578E-4
 hil	12	1.1056256721858578E-4
 wol	10	9.213547268215482E-5
 ngl	10	9.213547268215482E-5
 che	10	9.213547268215482E-5
 car	10	9.213547268215482E-5
 smo	9	8.292192541393934E-5
 qud	9	8.292192541393934E-5
 pov	9	8.292192541393934E-5
 nhn	9	8.292192541393934E-5
 myv	9	8.292192541393934E-5
 yor	8	7.370837814572386E-5
 kwf	8	7.370837814572386E-5
 krs	8	7.370837814572386E-5
 kab	8	7.370837814572386E-5
 gug	8	7.370837814572386E-5
 bug	8	7.370837814572386E-5
 bos_cyrl	8	7.370837814572386E-5
 oss	7	6.449483087750838E-5
 meu	7	6.449483087750838E-5
 mbx	7	6.449483087750838E-5
 mam	7	6.449483087750838E-5
 lue	7	6.449483087750838E-5
 ayc	7	6.449483087750838E-5
 uig_latn	6	5.528128360929289E-5
 uig_arab	6	5.528128360929289E-5
 tlc	6	5.528128360929289E-5
 quz	6	5.528128360929289E-5
 nus	6	5.528128360929289E-5
 nde	6	5.528128360929289E-5
 mho	6	5.528128360929289E-5
 mah	6	5.528128360929289E-5
 abn	6	5.528128360929289E-5
 war	5	4.606773634107741E-5
 vmw	5	4.606773634107741E-5
 vmp	5	4.606773634107741E-5
 tiv	5	4.606773634107741E-5
 sot	5	4.606773634107741E-5
 sag	5	4.606773634107741E-5
 run	5	4.606773634107741E-5
 qvc	5	4.606773634107741E-5
 pbb	5	4.606773634107741E-5
 nyn	5	4.606773634107741E-5
 mfy	5	4.606773634107741E-5
 maz	5	4.606773634107741E-5
 lgg	5	4.606773634107741E-5
 kwy	5	4.606773634107741E-5
 krc	5	4.606773634107741E-5
 kos	5	4.606773634107741E-5
 kek	5	4.606773634107741E-5
 haw	5	4.606773634107741E-5
 ewe	5	4.606773634107741E-5
 arn	5	4.606773634107741E-5
 arl	5	4.606773634107741E-5
 tzh	4	3.685418907286193E-5
 qxu	4	3.685418907286193E-5
 qxa	4	3.685418907286193E-5
 kin	4	3.685418907286193E-5
 iso	4	3.685418907286193E-5
 grg	4	3.685418907286193E-5
 cbu	4	3.685418907286193E-5
 ven	3	2.7640641804646446E-5
 ura	3	2.7640641804646446E-5
 tah	3	2.7640641804646446E-5
 snk	3	2.7640641804646446E-5
 shp	3	2.7640641804646446E-5
 rar	3	2.7640641804646446E-5
 pam	3	2.7640641804646446E-5
 ndc	3	2.7640641804646446E-5
 nav	3	2.7640641804646446E-5
 hus	3	2.7640641804646446E-5
 hau_NG	3	2.7640641804646446E-5
 fuc	3	2.7640641804646446E-5
 flm	3	2.7640641804646446E-5
 fij	3	2.7640641804646446E-5
 eve	3	2.7640641804646446E-5
 efi	3	2.7640641804646446E-5
 cic	3	2.7640641804646446E-5
 azb	3	2.7640641804646446E-5
 ayr	3	2.7640641804646446E-5
 ame	3	2.7640641804646446E-5
 acu	3	2.7640641804646446E-5
 zul	2	1.8427094536430965E-5
 yan	2	1.8427094536430965E-5
 xal	2	1.8427094536430965E-5
 wls	2	1.8427094536430965E-5
 umb	2	1.8427094536430965E-5
 tir	2	1.8427094536430965E-5
 srm	2	1.8427094536430965E-5
 rug	2	1.8427094536430965E-5
 pon	2	1.8427094536430965E-5
 ote	2	1.8427094536430965E-5
 nyk	2	1.8427094536430965E-5
 nya_chechewa	2	1.8427094536430965E-5
 nso	2	1.8427094536430965E-5
 mos	2	1.8427094536430965E-5
 lug	2	1.8427094536430965E-5
 kri	2	1.8427094536430965E-5
 kde	2	1.8427094536430965E-5
 kan	2	1.8427094536430965E-5
 inh	2	1.8427094536430965E-5
 igl	2	1.8427094536430965E-5
 hms	2	1.8427094536430965E-5
 gil	2	1.8427094536430965E-5
 emk	2	1.8427094536430965E-5
 dyo	2	1.8427094536430965E-5
 cbt	2	1.8427094536430965E-5
 cbs	2	1.8427094536430965E-5
 blu	2	1.8427094536430965E-5
 bfa	2	1.8427094536430965E-5
 ava	2	1.8427094536430965E-5
 agr	2	1.8427094536430965E-5
 ada	2	1.8427094536430965E-5
 zne	1	9.213547268215483E-6
 zam	1	9.213547268215483E-6
 yao	1	9.213547268215483E-6
 yad	1	9.213547268215483E-6
 uzn	1	9.213547268215483E-6
 tzm	1	9.213547268215483E-6
 tzc	1	9.213547268215483E-6
 tum	1	9.213547268215483E-6
 tuk	1	9.213547268215483E-6
 top	1	9.213547268215483E-6
 tob	1	9.213547268215483E-6
 tam	1	9.213547268215483E-6
 suk	1	9.213547268215483E-6
 skr	1	9.213547268215483E-6
 ray	1	9.213547268215483E-6
 qwh	1	9.213547268215483E-6
 ppl	1	9.213547268215483E-6
 pcd	1	9.213547268215483E-6
 not	1	9.213547268215483E-6
 nia	1	9.213547268215483E-6
 ndo	1	9.213547268215483E-6
 mmc	1	9.213547268215483E-6
 men	1	9.213547268215483E-6
 lun	1	9.213547268215483E-6
 lua	1	9.213547268215483E-6
 loz	1	9.213547268215483E-6
 kum	1	9.213547268215483E-6
 kpv	1	9.213547268215483E-6
 koo	1	9.213547268215483E-6
 kng	1	9.213547268215483E-6
 knc	1	9.213547268215483E-6
 ike	1	9.213547268215483E-6
 ibo	1	9.213547268215483E-6
 ibb	1	9.213547268215483E-6
 hva	1	9.213547268215483E-6
 huu	1	9.213547268215483E-6
 hea	1	9.213547268215483E-6
 gyr	1	9.213547268215483E-6
 gym	1	9.213547268215483E-6
 gkn	1	9.213547268215483E-6
 gax	1	9.213547268215483E-6
 gaa	1	9.213547268215483E-6
 fon	1	9.213547268215483E-6
 dyu	1	9.213547268215483E-6
 dip	1	9.213547268215483E-6
 dga	1	9.213547268215483E-6
 dar	1	9.213547268215483E-6
 cni	1	9.213547268215483E-6
 cnh	1	9.213547268215483E-6
 cjk	1	9.213547268215483E-6
 chj	1	9.213547268215483E-6
 ccx	1	9.213547268215483E-6
 cab	1	9.213547268215483E-6
 btb	1	9.213547268215483E-6
 bem	1	9.213547268215483E-6
 auv	1	9.213547268215483E-6
 aka_asante	1	9.213547268215483E-6
 ajg	1	9.213547268215483E-6
 ahk	1	9.213547268215483E-6
